ensembl	hgnc
679	ENSG00000050393	21097
680	ENSG00000050405	24636
681	ENSG00000050426	24241
682	ENSG00000050438	11034
683	ENSG00000050555	6494
684	ENSG00000050628	9595
685	ENSG00000050730	19315
686	ENSG00000050748	6886
687	ENSG00000050767	22990
688	ENSG00000050820	971
689	ENSG00000051009	25378
690	ENSG00000051108	13744
691	ENSG00000051128	17514
692	ENSG00000051180	9817
693	ENSG00000051341	9186
694	ENSG00000051382	8976
695	ENSG00000051523	2577
696	ENSG00000051596	19072
697	ENSG00000051620	15716
698	ENSG00000051825	7215
699	ENSG00000052126	30036
700	ENSG00000052344	9491
701	ENSG00000052723	26119
702	ENSG00000052749	29100
703	ENSG00000052795	29280
704	ENSG00000052802	10545
705	ENSG00000052841	25596
706	ENSG00000052850	450
707	ENSG00000053108	21389
708	ENSG00000053254	1928
709	ENSG00000053328	21566
710	ENSG00000053371	389
711	ENSG00000053372	18477
712	ENSG00000053438	7860
713	ENSG00000053501	30882
714	ENSG00000053524	30319
715	ENSG00000053702	23078
716	ENSG00000053747	6483
717	ENSG00000053770	20192
718	ENSG00000053900	19990
719	ENSG00000053918	6294
720	ENSG00000054116	19942
721	ENSG00000054118	22964
722	ENSG00000054148	30033
723	ENSG00000054179	3364
724	ENSG00000054219	6729
725	ENSG00000054267	15550
726	ENSG00000054277	14007
727	ENSG00000054282	10671
728	ENSG00000054356	9676
729	ENSG00000054392	18270
730	ENSG00000054523	16636
731	ENSG00000054598	3800
732	ENSG00000054611	1309
733	ENSG00000054654	17084
734	ENSG00000054690	17733
735	ENSG00000054793	13540
736	ENSG00000054796	11250
737	ENSG00000054803	16231
738	ENSG00000054938	24168
739	ENSG00000054965	28999
740	ENSG00000054967	13764
741	ENSG00000054983	4115
742	ENSG00000055044	29926
743	ENSG00000055070	30232
744	ENSG00000055118	6251
745	ENSG00000055130	2551
746	ENSG00000055147	1333
747	ENSG00000055163	13760
748	ENSG00000055208	17075
749	ENSG00000055211	21074
750	ENSG00000055332	9437
751	ENSG00000055483	20062
752	ENSG00000055609	13726
753	ENSG00000055732	13358
754	ENSG00000055813	29400
755	ENSG00000055917	14958
756	ENSG00000055950	14517
757	ENSG00000055955	6169
758	ENSG00000055957	6166
759	ENSG00000056050	26051
760	ENSG00000056097	17277
761	ENSG00000056277	25955
762	ENSG00000056291	4525
763	ENSG00000056487	25161
764	ENSG00000056558	12031
765	ENSG00000056586	21461
766	ENSG00000056736	18015
767	ENSG00000056972	1343
768	ENSG00000056998	4700
769	ENSG00000057019	24627
770	ENSG00000057149	10569
771	ENSG00000057252	11177
772	ENSG00000057294	9024
773	ENSG00000057468	7327
774	ENSG00000057593	3544
775	ENSG00000057608	4227
776	ENSG00000057657	9346
777	ENSG00000057663	589
778	ENSG00000057704	29199
779	ENSG00000057757	25022
780	ENSG00000057935	23784
781	ENSG00000058056	12611
782	ENSG00000058063	13553
783	ENSG00000058085	6493
784	ENSG00000058091	8883
785	ENSG00000058262	18276
786	ENSG00000058272	7618
787	ENSG00000058335	9875
788	ENSG00000058404	1461
789	ENSG00000058453	21299
790	ENSG00000058600	30347
791	ENSG00000058668	817
792	ENSG00000058673	29093
793	ENSG00000058729	18999
794	ENSG00000058799	25231
795	ENSG00000058804	25525
796	ENSG00000058866	2853
797	ENSG00000059122	25404
798	ENSG00000059145	14184
799	ENSG00000059377	11609
800	ENSG00000059378	21919
801	ENSG00000059573	9722
802	ENSG00000059588	11568
803	ENSG00000059691	8849
804	ENSG00000059728	6761
805	ENSG00000059758	8750
806	ENSG00000059769	34187
807	ENSG00000059804	11007
808	ENSG00000059915	9507
809	ENSG00000060069	2498
810	ENSG00000060138	2428
811	ENSG00000060140	18889
812	ENSG00000060237	14540
813	ENSG00000060303	21352
814	ENSG00000060339	24236
815	ENSG00000060491	15768
816	ENSG00000060558	4383
817	ENSG00000060566	18855
818	ENSG00000060642	26031
819	ENSG00000060656	9683
820	ENSG00000060688	30857
821	ENSG00000060709	30339
822	ENSG00000060718	2186
823	ENSG00000060749	26154
824	ENSG00000060762	21606
825	ENSG00000060971	82
826	ENSG00000060982	976
827	ENSG00000061273	14067
828	ENSG00000061337	13861
829	ENSG00000061455	9350
830	ENSG00000061492	12788
831	ENSG00000061656	11214
832	ENSG00000061676	7666
833	ENSG00000061794	16635
834	ENSG00000061918	4687
835	ENSG00000061936	10790
836	ENSG00000061938	19297
837	ENSG00000061987	29177
838	ENSG00000062038	1762
839	ENSG00000062096	721
840	ENSG00000062194	29520
841	ENSG00000062282	16940
842	ENSG00000062370	12892
843	ENSG00000062485	2422
844	ENSG00000062524	6721
845	ENSG00000062582	14510
846	ENSG00000062598	17233
847	ENSG00000062650	23293
848	ENSG00000062716	29559
849	ENSG00000062725	622
850	ENSG00000062822	9175
851	ENSG00000063015	15955
852	ENSG00000063046	3285
853	ENSG00000063127	13622
854	ENSG00000063169	4332
855	ENSG00000063176	18859
856	ENSG00000063177	10310
857	ENSG00000063180	1370
858	ENSG00000063241	26278
859	ENSG00000063244	23156
860	ENSG00000063245	21604
861	ENSG00000063322	23074
862	ENSG00000063438	346
863	ENSG00000063515	4613
864	ENSG00000063587	13069
865	ENSG00000063601	7449
866	ENSG00000063660	4449
867	ENSG00000063761	19038
868	ENSG00000063854	4805
869	ENSG00000063978	10067
870	ENSG00000064012	1509
871	ENSG00000064042	29191
872	ENSG00000064102	20174
873	ENSG00000064115	23049
874	ENSG00000064195	2916
875	ENSG00000064199	11210
876	ENSG00000064201	13410
877	ENSG00000064205	12770
878	ENSG00000064218	13909
879	ENSG00000064225	18080
880	ENSG00000064270	29103
881	ENSG00000064300	7809
882	ENSG00000064309	17104
883	ENSG00000064313	11536
884	ENSG00000064393	14402
885	ENSG00000064419	17103
886	ENSG00000064489	39979
887	ENSG00000064490	9987
888	ENSG00000064545	26020
889	ENSG00000064547	3168
890	ENSG00000064601	9251
891	ENSG00000064607	18641
892	ENSG00000064651	10911
893	ENSG00000064652	21533
894	ENSG00000064655	3520
895	ENSG00000064666	2156
896	ENSG00000064687	37
897	ENSG00000064692	11139
898	ENSG00000064703	2743
899	ENSG00000064726	1120
900	ENSG00000064763	25531
901	ENSG00000064787	974
902	ENSG00000064835	9210
903	ENSG00000064886	1933
904	ENSG00000064932	29158
905	ENSG00000064933	9121
906	ENSG00000064961	5002
907	ENSG00000064989	16709
908	ENSG00000064995	11544
909	ENSG00000064999	20961
910	ENSG00000065000	568
911	ENSG00000065029	13149
912	ENSG00000065054	11076
913	ENSG00000065057	8028
914	ENSG00000065060	21216
915	ENSG00000065135	4387
916	ENSG00000065150	6402
917	ENSG00000065154	8091
918	ENSG00000065183	12755
919	ENSG00000065243	9406
